status_id,status_message,link_name,status_type,status_link,status_published
1650072591927879_1806708186264318,yesterday a very aggressive Persian man made me wash my hands while he winked at me. Then tried to sell me hand soap and I ran away. The mall is scary please don't make me go back,,status,,2016-11-30 13:20:38
1650072591927879_1799767083625095,"only two things I rep and actively update with oc lately 

Snapchat:  YOSHIHUT 
Instagram: YOSHIHUT",,status,,2016-11-16 00:44:00
1650072591927879_1798957727039364,"super paranoid, i just tried to torrent some photoshop junk and as i did the search the site crashed and my camera light blink'd so super quick. 

are the feds snapping pics? they got me already I guess. damn, game over",,status,,2016-11-14 04:50:39
1650072591927879_1797443223857481,"I just bled all over a McDonald's bathroom 

Snapchat: YOSHIHUT",,status,,2016-11-10 18:34:32
1650072591927879_1796754137259723,If you don't use cloth bags at the supermarket you're just as bad as a trump supporter,,status,,2016-11-09 12:38:51
1650072591927879_1789019858033151,,Sᴇʟᴇᴄᴛᴇᴅ Aᴍʙɪᴇɴᴛ Mᴇᴍᴇs Vᴏʟ. III,link,https://www.facebook.com/SelectedAmbientMemesV3/posts/698110040337281,2016-10-26 19:38:48
1650072591927879_1785695211698949,what was the point of fingerless gloves before the invention of smart phones?,,status,,2016-10-20 22:33:23
1650072591927879_1773381959596941,,Sᴇʟᴇᴄᴛᴇᴅ Aᴍʙɪᴇɴᴛ Mᴇᴍᴇs Vᴏʟ. III,photo,https://www.facebook.com/SelectedAmbientMemesV3/photos/a.633418346806451.1073741827.633416140140005/682059331942352/?type=3,2016-09-26 13:27:59
1650072591927879_1772920296309774,"Moment of silence for selected Ambient Memes vol.ii

Btw if you guys haven't liked the new Selected ambient Memes vol.iii please go and find that link cause I'm lazy",,status,,2016-09-25 14:39:32
1650072591927879_1770408963227574,my name  is n aruto and this is my story,,status,,2016-09-20 00:43:45
1650072591927879_1767025786899225,Some lady just walked in on me in the bathroom she totally saw my WANg,,status,,2016-09-12 14:44:20
1650072591927879_1764385137163290,"I got really into juggling when I was a kid, my parents bought books fore to learn from and different items for me to juggle but I never could get the hang of it. I still wish I could.",,status,,2016-09-07 01:21:30
1650072591927879_1758085187793285,I moved provinces and all my real friends turned into internet friends and all my depression turned into suicidal tendencies,,status,,2016-08-25 18:40:21
1650072591927879_1758083741126763,returned from being with my internet friends this past week and all I got was intense depression and home sickness,,status,,2016-08-25 18:35:37
1650072591927879_1758050221130115,,Timeline Photos,photo,https://www.facebook.com/Dru6s/photos/a.1650101151925023.1073741828.1650072591927879/1758050221130115/?type=3,2016-08-25 17:18:35
1650072591927879_1753006748301129,Made it home! I got to see a lot of friends and then I watched broke back mountain with another selected am memes admin. Dudes fuckimg gaaaay #mothman,,status,,2016-08-15 01:09:32
1650072591927879_1752148978386906,Okay I'm in Halifax now wew,,status,,2016-08-13 00:41:54
1650072591927879_1751827878419016,good and you?,,status,,2016-08-12 07:20:45
1650072591927879_1750930801842057,"Y666drasil and I are going to eat a pulled pork sandwich lady and the tramp style next week 

1k",,status,,2016-08-10 05:05:18
1650072591927879_1750486151886522,girls wearing ties whenever they want is what Avril Lavigne died for,,status,,2016-08-09 04:04:17
1650072591927879_1749896278612176,"if you're reading this right now let your whole body go limp trust me it does wonders for your mental health just let go and go limp just trust me it does wonfers for your skin. 

Tldr; Letting your whole body just go limp and flop on the table or wheatever right now",,status,,2016-08-07 15:29:13
1650072591927879_1749878518613952,breastfeeding mom injects boob milk inside me,,status,,2016-08-07 14:08:09
1650072591927879_1749878365280634,waiting for the bus and freestyling to the other people also waiting for the bus but they're being really disrespectful so like maybe they ain't cut out for this rap game,,status,,2016-08-07 14:07:33
1650072591927879_1749633265305144,The smaller the potato that more disappointing the chips,,status,,2016-08-07 00:44:12
1650072591927879_1728748727393598,End premature automated toilet flushing,,status,,2016-08-01 15:26:00
1650072591927879_1746989018902902,"kwad up

INSTAGRAM:  YOSHIHUT",Timeline Photos,photo,https://www.facebook.com/Dru6s/photos/a.1650101151925023.1073741828.1650072591927879/1746989018902902/?type=3,2016-07-31 23:36:40
1650072591927879_1746987282236409,I'm sitting on a pillow that has dorito crumbs under it. They were there before I got here,,status,,2016-07-31 23:29:43
1650072591927879_1746969515571519,"my mom knows the chief in this first Nations band, we got sick hookups to a quad and a plane. I'm probably going to get drunk and crash into a mountain later ok thanks for listening peace out bye",,status,,2016-07-31 22:15:10
1650072591927879_1746969198904884,"dudes I'm ripping on a quad on a beach in the most remote area of the yukon, pray for sick drift vids",,status,,2016-07-31 22:13:56
1650072591927879_1746560008945803,"Saw some decent anti Harper graffiti on the back of a dumpster, I'm in Whitehorse.",,status,,2016-07-30 22:44:50
1650072591927879_1746536652281472,I haven't had cell service for 6 hours holy crap,,status,,2016-07-30 21:14:42
1650072591927879_1746533028948501,,,video,https://www.facebook.com/Dru6s/videos/1746533028948501/,2016-07-30 21:08:04
1650072591927879_1746368188964985,"This is where I am atm, I feel like game of thrones or some shit",Timeline Photos,photo,https://www.facebook.com/Dru6s/photos/a.1650101151925023.1073741828.1650072591927879/1746368188964985/?type=3,2016-07-30 10:33:57
1650072591927879_1746155882319549,when will nature evolve wifi enabled plants,,status,,2016-07-29 22:16:46
1650072591927879_1746155828986221,I'm driving through the fucking Yukon holy shit my cell phone does t even work out here there's nothing but TREES and they don't even have WIFI,,status,,2016-07-29 22:16:13
1650072591927879_1744569509144853,"i just saw a clickbait article about rick rolling, what fucking year is it",,status,,2016-07-26 03:13:41
1650072591927879_1744421559159648,,Space Friends,link,https://www.facebook.com/yougotafriendinspace/posts/1201947833200300,2016-07-25 16:56:13
1650072591927879_1741934012741736,Spending my time oppressing virtual pets,,status,,2016-07-19 21:01:41
1650072591927879_1739856209616183,its not cool to be confused 🚬,,status,,2016-07-14 22:50:49
1650072591927879_1739853749616429,petting dogs is asserting your dominance and OPPRESSING THEM,,status,,2016-07-14 22:44:50
1650072591927879_1739187926349678,Just a prank bro,Smoke Memes Everyday,photo,https://www.facebook.com/ExtremeMemes420/photos/a.404128926315979.98695.139262272802647/1195269947201869/?type=3,2016-07-13 09:33:56
1650072591927879_1738649406403530,skateboard update: with my new funky board thats really tiny Ive pretty much given up on all flip tricks,giphy.com,link,http://giphy.com/gifs/kingoftheroad-viceland-king-of-the-road-3o7qE2UOGGGW5MwjV6,2016-07-12 03:11:58
1650072591927879_1737675609834243,For 200 grand would you drink a litre of KFC gravy a day for a year?,,status,,2016-07-09 16:02:28
1650072591927879_1737366859865118,*mutes a lets play*,,status,,2016-07-08 19:40:27
1650072591927879_1736584133276724,no human will ever be as stressed as the top button on my jeans right now lol share if you can relate,,status,,2016-07-06 16:14:31
1650072591927879_1736412163293921,hurt me,Nihilist Memes,photo,https://www.facebook.com/nihilistmemes/photos/a.583984671716496.1073741827.583969258384704/1004819259633033/?type=3,2016-07-06 03:09:05
1650072591927879_1734929136775557,excuse me while I pop one of my penis straightening pills,,status,,2016-07-02 10:49:16
1650072591927879_1734928743442263,Moving out of your parents place is sweet you can stay up late and don't have to ask your dad if you can masturbate anymore,,status,,2016-07-02 03:38:57
1650072591927879_1734566623478475,tv stopped being black and white in the 60s but the shows never did ohhhhhhhhh,,status,,2016-07-01 04:44:44
1650072591927879_1733998873535250,"They always say white people can't be impressed, like have you even really watched that Simon cowbell talent show?",,status,,2016-06-29 15:33:15
1650072591927879_1733989103536227,if having a curved dick is a disease is it contagious?? no frot for me I guess smh,,status,,2016-06-29 14:46:49
1650072591927879_1733989026869568,never even SEEN a curved dick like who you trying to kid?,,status,,2016-06-29 14:46:17
1650072591927879_1733987896869681,penis as straight as an arrow but gay,,status,,2016-06-29 14:36:53
1650072591927879_1733495110252293,"yo i just learned that having a curved or bent dick is actually a disease
and theres a fucking cure wtf
like pills
wow the internet is magical",,status,,2016-06-28 03:45:18
1650072591927879_1733348546933616,premature ejectulation simulator 2016,,status,,2016-06-27 17:33:20
1650072591927879_1733154230286381,when I get up to use the washroom at night I'll swing my hand and grope the wall to hit the light. but sometimes if I miss the light switch I'll pee in the dark as punishment,,status,,2016-06-27 05:57:54
1650072591927879_1733134930288311,tbh i have miniature panic attacks when I give serious thought about outer space and our finite time on this planet and stuff idk,,status,,2016-06-27 04:09:22
1650072591927879_1733029040298900,"dunk your own life away, it's all about the GAME",,status,,2016-06-26 20:25:41
1650072591927879_1732261260375678,"The first time I ever played a super Nintendo was when I was very young in a hospital recovery room....ever since, I've always wanted to go back to that room.",,status,,2016-06-24 23:34:01
1650072591927879_1732260300375774,hey zack guess what I did,,status,,2016-06-24 15:16:27
1650072591927879_1732259683709169,"brexit more like breakfast, i'm starving!",,status,,2016-06-24 15:12:31
1650072591927879_1731936000408204,can you imagine if trump became pres... lol god damn,,status,,2016-06-23 19:31:24
1650072591927879_1731558530445951,best friends,Timeline Photos,photo,https://www.facebook.com/Dru6s/photos/a.1650101151925023.1073741828.1650072591927879/1731558530445951/?type=3,2016-06-22 20:28:16
1650072591927879_1731554117113059,I was gunna ask him to play steam games today but maybe he saw that coming and preemptively blocked me so he doesn't have to deal with my shit its okay i get it its just like damn dog,,status,,2016-06-22 20:16:48
1650072591927879_1731551310446673,Y666drasil blocked me on facebook and im kinda like wtffffff,,status,,2016-06-22 20:10:55
1650072591927879_1731440363791101,When ableton sends you a free messenger bag for being so fresh,Timeline Photos,photo,https://www.facebook.com/Dru6s/photos/a.1650101151925023.1073741828.1650072591927879/1731440363791101/?type=3,2016-06-22 11:45:40
1650072591927879_1730749140526890,we still need to investigate 3/11,,status,,2016-06-20 17:42:51
1650072591927879_1730470153888122,,Timeline Photos,photo,https://www.facebook.com/Dru6s/photos/a.1650101151925023.1073741828.1650072591927879/1730470153888122/?type=3,2016-06-19 22:43:50
1650072591927879_1730468000555004,Throwback,Dru6s,video,https://www.facebook.com/Dru6s/videos/1651967585071713/,2016-06-19 22:32:09
1650072591927879_1730114630590341,,"Exploding Fish Shitposting and Senseless Drivel, Inc.",link,https://www.facebook.com/explodingbullshit/posts/1209443369089878,2016-06-18 21:48:51
1650072591927879_1730102797258191,I get uncomfortable around shirtless men,,status,,2016-06-18 21:05:16
1650072591927879_1729752683959869,,,status,,2016-06-18 02:02:44
1650072591927879_1729649817303489,anal jousting,,status,,2016-06-17 19:13:21
1650072591927879_1729460890655715,"I cant grow pubic hair, my body is covered in a thick moss",,status,,2016-06-17 16:29:00
1650072591927879_1729456870656117,"You guys ever forget you pulled ur foreskin back and ur dicks drys out and then u need to be hospitalized and they amputate the head of your dick?
Yeah me neither, haha",,status,,2016-06-17 10:04:14
1650072591927879_1729234310678373,,frick yeah dude,link,https://www.facebook.com/frickyeahdude/posts/1635189023472186,2016-06-16 23:30:52
1650072591927879_1729192687349202,,Un,link,https://www.facebook.com/permalink.php?story_fbid=515555951978799&id=413908138810248,2016-06-16 19:42:11
1650072591927879_1709392039329267,"in the name of the father, the son and the holy spirit, I'm gonna cum",,status,,2016-06-15 12:20:00
1650072591927879_1728691464065991,I bought a cool new skateboard online last week and gets delivered today im kinda excitedd,,status,,2016-06-15 11:03:53
1650072591927879_1728395277428943,Sitting in a completely empty pita restaurant and the one guy that shows up sits beside me.,,status,,2016-06-14 16:13:15
1650072591927879_1728393317429139,I had a sex dream last night and I wasnt in it,,status,,2016-06-14 16:12:12
1650072591927879_1728029860798818,car seat head ass,,status,,2016-06-14 01:21:44
1650072591927879_1727333090868495,feed my teeth thinly sliced avocados,,status,,2016-06-12 15:07:54
1650072591927879_1727041727564298,zack looks really cute with short hair,,status,,2016-06-11 21:14:59
1650072591927879_1727039620897842,RIP Kelly Clarkson,,status,,2016-06-11 21:12:17
1650072591927879_1727033440898460,"if my nipples get hard does that mean im gay
im listening to black metal and my nipples are getting hard",,status,,2016-06-11 20:39:24
1650072591927879_1727006220901182,,New Swears,video,https://www.facebook.com/NewSwears/videos/1299800250031876/,2016-06-11 18:16:35
1650072591927879_1726939484241189,👽 me atm 👽,Timeline Photos,photo,https://www.facebook.com/Dru6s/photos/a.1650101151925023.1073741828.1650072591927879/1726939484241189/?type=3,2016-06-11 14:20:56
1650072591927879_1726873404247797,Unless it's gay marriage I honestly couldn't care less about your disgusting engagement to procreation you fucking breeders,,status,,2016-06-11 11:33:33
1650072591927879_1726869734248164,,Timeline Photos,photo,https://www.facebook.com/Dru6s/photos/a.1650101151925023.1073741828.1650072591927879/1726869734248164/?type=3,2016-06-11 11:15:48
1650072591927879_1726860217582449,Wireless communication to Satan through Hilary Clintons thighs,,status,,2016-06-11 10:44:12
1650072591927879_1726858904249247,Sweating so much you can't breathe but it smells like nothing,,status,,2016-06-11 10:38:20
1650072591927879_1725701884364949,this album makes me want to buy a motorcycle chain and start whipping on the floor,,status,,2016-06-08 23:54:07
1650072591927879_1725085167759954,,Sent From Web,link,https://www.facebook.com/SentFromWeb/posts/1353448971339148,2016-06-07 12:32:28
1650072591927879_1724932504441887,*Kimberly slice picture of mc ride* MEME,,status,,2016-06-07 03:41:49
1650072591927879_1724932457775225,RIP Kimberly slice,,status,,2016-06-07 03:41:24
1650072591927879_1724751524459985,just posted a new BANGER,Fluent English,link,https://soundcloud.com/zafro44/fluent-english,2016-06-06 15:16:30
1650072591927879_1724698834465254,Send me your cutest dick pics,,status,,2016-06-06 12:17:58
1650072591927879_1724471707821300,"But really tho, im really happy to play games with y666drasil not in a weird way or anything but like yea I'm just feeling finwee super pumped even if it is just once a week but I mean if he's busy or whatever I'll understand. Just c00l to anticipate cause you guys know he's actually like one of my best friends and it makes me feel GREAT to have such a good guy close 2 me.",,status,,2016-06-06 04:30:31
1650072591927879_1724471151154689,I need to shave my ass I can taste it,,status,,2016-06-06 04:26:19
1650072591927879_1724470814488056,slapy ass,,status,,2016-06-06 04:24:46
1650072591927879_1724470727821398,depression makes me horny lol,,status,,2016-06-06 04:24:26
1650072591927879_1724470607821410,my depression comes back in waves and sometimes I feel like I've recovered and then I forget I wasnt designed to be a regular functioning human or to have any form of happiness,,status,,2016-06-06 04:23:57
1650072591927879_1724470144488123,"good game fellaz
*slaps ass*",,status,,2016-06-06 04:21:34
1650072591927879_1724469917821479,nUt,,status,,2016-06-06 04:20:05
1650072591927879_1724469844488153,Drop toothpaste on your shirt right before going to work?  *SMASHES NUT BUTTON*,,status,,2016-06-06 04:19:33
1650072591927879_1724469294488208,have you ever tried to full out sprint naked? Who the fuck designed all this shit to be so floppy? I can feel my tits bouncing it's nutz,,status,,2016-06-06 04:15:47
1650072591927879_1724469141154890,"Your friendship becomes stronger if you see eachother naked, friends forever.",,status,,2016-06-06 04:14:23
1650072591927879_1724468994488238,by the time I'm 82 I won't have a hair on my body,,status,,2016-06-06 04:13:18
1650072591927879_1724468931154911,wax your eyebrows and replace them with nothing,,status,,2016-06-06 04:12:46
1650072591927879_1724468731154931,you'd like to think of me as a jazz model but that's not something I'm about to let you want to do,,status,,2016-06-06 04:11:39
1650072591927879_1724468637821607,scrotums are cute,,status,,2016-06-06 04:11:06
1650072591927879_1724468587821612,Sometimes you just got to masturbate to straight porn till you're not gay but sometimes you just can't stop looking at Scrotums cause they're so cute,,status,,2016-06-06 04:10:44
1650072591927879_1724468447821626,both cameras I found don't work just eats me and spits me out all used and itchy,,status,,2016-06-06 04:09:44
1650072591927879_1724467717821699,"Skateboard update: I just bought a 200 dollar skate board online wtffff
I did it cause it has those kickstarter wheels and I want to try those out but I also hate my board so I just figured I'd go full tilt on the internet shopping... I might regret it later but whateverrrr.

Also, bought some steam games so Y666drasil and I can still be friends and not grow farther apart. I really am looking forward to play games online and stuff.  Tbh it's been really boring and lonely here in this place so I'm trying to do stuff to keep positive. 
Heck it",,status,,2016-06-06 04:04:12
1650072591927879_1724458807822590,knowing what your own cum tastes like will actually help you succeed in life,,status,,2016-06-06 03:26:14
1650072591927879_1721838588084612,,Skate On Your Mom,video,https://www.facebook.com/Skateonyourmom/videos/483092121899775/,2016-05-30 15:32:55
1650072591927879_1719269688341502,NO RULES,,status,,2016-05-24 16:58:47
1650072591927879_1718770965058041,skateboard update: why did god give me feet when he could have given me wheels,Amphetameme pt. II,photo,https://www.facebook.com/amphetameme2/photos/a.1639322333018311.1073741829.1639316546352223/1738459233104620/?type=3,2016-05-23 15:26:46
1650072591927879_1718424881759316,,"Knock knock its me, the memeboy genius",video,https://www.facebook.com/memeboygenius/videos/260518500967716/,2016-05-22 22:43:59
1650072591927879_1717567775178360,so that shitty room mate I was kinda mad about... he just gave me back the keys. thank god he's out... but I guess he blocked me on facebook cause well... he still hasn't paid me the 600 for rent this month.,,status,,2016-05-21 01:56:41
1650072591927879_1717301575204980,a glass dildo where you can fit a gopro inside,,status,,2016-05-20 14:49:48
1650072591927879_1717208435214294,ye,3 Spooky 5 Memes -Offensive Content,photo,https://www.facebook.com/3spooky5memes/photos/a.1612452409005286.1073741829.1563475493902978/1686782218238971/?type=3,2016-05-20 09:22:24
1650072591927879_1717078325227305,Bagel for dinner I'm so unhealthy,,status,,2016-05-20 03:08:02
1650072591927879_1717078148560656,not,,status,,2016-05-20 03:06:46
1650072591927879_1717078135227324,When you nut when you meant to NUT,,status,,2016-05-20 03:06:37
1650072591927879_1717078065227331,Who the fuck even buys meundies I see ads for this shit all over the place fuck I just want to see some pubic hair,,status,,2016-05-20 03:06:16
1650072591927879_1717058828562588,bring me the last bass drop on the earth,,status,,2016-05-20 01:36:31
1650072591927879_1717058788562592,PLAY THAT WHITE NOISE LIKE ITS YOUR LAST CHANCE AT HIGH HATS,,status,,2016-05-20 01:36:15
1650072591927879_1717058321895972,found some nice lil drum samples that sound great when bitcrushed to shit im going to rock out till the break of dawn on this pup,,status,,2016-05-20 01:33:47
1650072591927879_1716989351902869,someone should tag me in a funny post that is totally me haha,,status,,2016-05-19 22:25:04
1650072591927879_1716985611903243,Un tagged me in this what's up,Gay And Fabulous,photo,https://www.facebook.com/gayfabulous/photos/a.552872411462731.1073741828.552864574796848/1021503274599640/?type=3,2016-05-19 22:08:21
1650072591927879_1716492128619258,i took off all my clothes to eat that hamburger,,status,,2016-05-18 14:25:00
1650072591927879_1716491985285939,I'm on my lunch break and im gunna eat a hamburger,,status,,2016-05-18 14:07:44
1650072591927879_1716210158647455,"watched a police man hold down a dog earlier it was pretty tight, glad he didn't shoot it.",,status,,2016-05-17 19:04:44
1650072591927879_1716193701982434,Skateboard update: I biked to work,,status,,2016-05-17 17:30:10
1650072591927879_1715941738674297,"Those aren't tits

They're fucking body bags.",,status,,2016-05-17 01:40:17
1650072591927879_1715936662008138,"Skateboard update: I can kinda skateboard now but only when going forward, i rarely fall off now so thats cool. 
I still cant do the thing where you push really fast 2 times in a row. I have to put my foot back on after every time :/",,status,,2016-05-17 01:06:29
1650072591927879_1715774502024354,"Old people texting in public are probably ly like ""oh hi hunny how r u"" 

and I'm just wandering around a department store texting about how dogs version of missionary position is doggy style🐕",,status,,2016-05-16 16:00:41
1650072591927879_1714239005511237,new shoes,Timeline Photos,photo,https://www.facebook.com/Dru6s/photos/a.1650101151925023.1073741828.1650072591927879/1714239005511237/?type=3,2016-05-12 23:05:52
1650072591927879_1714128825522255,Sometimes I whip my back with a keys lanyard just to feel alive,,status,,2016-05-12 15:41:39
1650072591927879_1713746595560478,You know which group of people are most likely to leave their trays and garbage on their tables? baby boomers.,,status,,2016-05-11 13:36:04
1650072591927879_1713416945593443,My feet are so smoll holy crump,,status,,2016-05-10 16:03:30
1650072591927879_1713023218966149,,Sent From Web,link,https://www.facebook.com/SentFromWeb/posts/1333764399974272,2016-05-09 19:39:23
1650072591927879_1712122625722875,Y666drasil,Timeline Photos,photo,https://www.facebook.com/Dru6s/photos/a.1650101151925023.1073741828.1650072591927879/1712122625722875/?type=3,2016-05-07 12:05:57
1650072591927879_1711492555785882,We should just build a wall and have the fire pay for it,,status,,2016-05-05 20:24:49
1650072591927879_1710821959186275,,Ted Cruz Is The Zodiac Killer,link,https://www.facebook.com/TedCruzIsTheZodiacKiller/posts/1722498881340279,2016-05-03 21:14:55
1650072591927879_1710578605877277,22 with a neck tattoo,,status,,2016-05-03 03:46:05
1650072591927879_1710578572543947,holy shit neck tattoo is leaving for good,,status,,2016-05-03 03:45:48
1650072591927879_1710578505877287,the girl that paied rent last month and didnt move it paid rent this month and didnt move in,,status,,2016-05-03 03:45:21
1650072591927879_1710578372543967,"one time I ironically described a song lyric instead of repeating it back and some girl unfriended me on facebook cause of it lol 

good song but she's a little late to the party... too young to even be around when that dude was still a drug addict #diyorgasams",,status,,2016-05-03 03:44:18
1650072591927879_1710435325891605,fecal alcohol syndrome,,status,,2016-05-02 14:52:45
1650072591927879_1708834229385048,,Wats up cucké,link,https://www.facebook.com/watsupcuck/posts/1691343141120351,2016-04-28 14:10:48
1650072591927879_1708828216052316,I wish I had more pee in me,,status,,2016-04-28 13:36:46
1650072591927879_1708812582720546,When u cum but don't orgasm,,status,,2016-04-28 12:22:06
1650072591927879_1708518976083240,,Sasha Grey,link,https://www.facebook.com/SashaGrey/posts/1026204357418964,2016-04-27 15:17:24
1650072591927879_1708514852750319,,,video,https://www.facebook.com/Dru6s/videos/1708514852750319/,2016-04-27 14:56:26
1650072591927879_1708262309442240,"Why don't we have more clothing named after domestic violence?
Only the wife beater gets one?
unjust.",,status,,2016-04-27 02:26:00
1650072591927879_1708108989457572,"Knowing our luck, the first alien species we meet is going to be space wasps and they're going to be pissed",,status,,2016-04-26 12:41:26
1650072591927879_1707904529478018,I forgot to eat today lol,,status,,2016-04-26 01:59:36
1650072591927879_1707851579483313,theres' too many possible note combinations for me to justify immortalizing just one,,status,,2016-04-25 21:11:13
1650072591927879_1707748099493661,Nascar for Vice President,,status,,2016-04-25 13:01:15
1650072591927879_1707362762865528,,frick yeah dude,link,https://www.facebook.com/frickyeahdude/posts/1604549409869481,2016-04-24 14:23:51
1650072591927879_1706804492921355,Today a guy clearly on meth or something  serenaded me at work omg so dreamy,,video,https://www.facebook.com/Dru6s/videos/1706804492921355/,2016-04-22 23:59:08
1650072591927879_1706736079594863,"You know what they say...
Before enlightenment rake the lawn, do the dishes, take out the trash.

After enlightenment? You don't have to do these things because they are stupid and that they suck",,status,,2016-04-22 18:02:09
1650072591927879_1706671952934609,Me out here enjoying a Hawaiian,Timeline Photos,photo,https://www.facebook.com/Dru6s/photos/a.1650101151925023.1073741828.1650072591927879/1706671952934609/?type=3,2016-04-22 13:30:45
1650072591927879_1706258679642603,got yu GI oh socks lmoa,,status,,2016-04-21 13:20:39
1650072591927879_1706255426309595,Maybe it was Prince,,status,,2016-04-21 13:04:33
1650072591927879_1706254236309714,"Just watched a dude get airlifted out of the river. Onlooks said he was there since last night. 

Second dead guy I saw this week, sweet.",,status,,2016-04-21 12:58:51
1650072591927879_1705909993010805,"Remember boys, don't forget to retract your foreskins when you urinate. It's just good manners",,status,,2016-04-20 13:11:03
1650072591927879_1705888936346244,,Timeline Photos,photo,https://www.facebook.com/Dru6s/photos/a.1650101151925023.1073741828.1650072591927879/1705888936346244/?type=3,2016-04-20 12:05:39
1650072591927879_1705888913012913,420 was a sin till god let loose in the 70s,,status,,2016-04-20 12:05:22
1650072591927879_1705862463015558,"I've never had food poisoning in my life, and I've literally eaten out of dumpsters before",,status,,2016-04-20 10:25:41
1650072591927879_1705752003026604,it keeps saying im liking all my posts im not ray dfuck off,,status,,2016-04-20 03:30:00
1650072591927879_1705751523026652,"YOUR PINEAPPLES LITERALLY SCREAM FOR MERCY, YET YOU BLAZE ONWARD RESOLVED TO CREATE THICK STRIATED MASSIVENESS, DRIVEN BY THE WHITE HOT DESIRE TO STAND ALONE AS THE WORLDS MOST MASSIVELY DEVELOPED PIZZA
Pineapple Pizza Lover",,status,,2016-04-20 03:26:48
1650072591927879_1705750576360080,"Griffin Ali's Adequate and Rambunctious Meme Emporium : Formerly NDMSG thinks I look gay :/

""no, it's a good thing""",,status,,2016-04-20 03:19:37
1650072591927879_1705745173027287,"every meme page and shitty human is going to 420 and I hate the internet on days like today 
*hits the bong*",,status,,2016-04-20 02:50:49
1650072591927879_1705744949693976,"*hits the bong* 
you know, if i stayed in school instead of skipping class to smoke weed in the baseball diamond maybe i'd have the beginnings of an actual career at this point",,status,,2016-04-20 02:48:58
1650072591927879_1705344236400714,,,video,https://www.facebook.com/Dru6s/videos/1705344236400714/,2016-04-19 01:18:54
1650072591927879_1705337496401388,woof woof whats for lunch,,status,,2016-04-19 00:43:44
1650072591927879_1705333826401755,98% of people who dont like pineapple on their pizza have probably never had a good pineapple pizza,,status,,2016-04-19 00:25:08
1650072591927879_1705244069744064,,777,link,https://www.facebook.com/1650072591927879/posts/1705244069744064/,2016-04-18 17:46:00
