status_id,status_message,link_name,status_type,status_link,status_published
1818120751735505_1834629493417964,http://giphy.com/gifs/3o7TKpKxeZIZ9KuKhq,giphy.com,link,http://giphy.com/gifs/3o7TKpKxeZIZ9KuKhq,2016-11-29 13:21:58
1818120751735505_1834626856751561,,Timeline Photos,photo,https://www.facebook.com/SelectedAmbient/photos/a.1818158515065062.1073741827.1818120751735505/1834626856751561/?type=3,2016-11-29 13:10:40
1818120751735505_1834277940119786,wen u leave the kids in the car with no a/c and the windows closed,Timeline Photos,photo,https://www.facebook.com/SelectedAmbient/photos/a.1818158515065062.1073741827.1818120751735505/1834277940119786/?type=3,2016-11-28 16:44:41
1818120751735505_1834219353458978,,Timeline Photos,photo,https://www.facebook.com/SelectedAmbient/photos/a.1818158515065062.1073741827.1818120751735505/1834219353458978/?type=3,2016-11-28 13:29:46
1818120751735505_1833997210147859,,Sᴇʟᴇᴄᴛᴇᴅ Aᴍʙɪᴇɴᴛ Mᴇᴍᴇs Vᴏʟ. III,link,https://www.facebook.com/SelectedAmbientMemesV3/posts/682129375268681,2016-11-28 02:28:14
1818120751735505_1832560380291542,SAVE HIM,Timeline Photos,photo,https://www.facebook.com/SelectedAmbient/photos/a.1818158515065062.1073741827.1818120751735505/1832560380291542/?type=3,2016-11-24 18:13:14
1818120751735505_1832498530297727,Thank,Timeline Photos,photo,https://www.facebook.com/SelectedAmbient/photos/a.1818158515065062.1073741827.1818120751735505/1832498530297727/?type=3,2016-11-24 15:32:31
1818120751735505_1831984177015829,,Timeline Photos,photo,https://www.facebook.com/SelectedAmbient/photos/a.1818158515065062.1073741827.1818120751735505/1831984177015829/?type=3,2016-11-23 14:06:24
1818120751735505_1831931607021086,,Timeline Photos,photo,https://www.facebook.com/SelectedAmbient/photos/a.1818158515065062.1073741827.1818120751735505/1831931607021086/?type=3,2016-11-23 11:44:13
1818120751735505_1831434743737439,Yahtzee,Timeline Photos,photo,https://www.facebook.com/SelectedAmbient/photos/a.1818158515065062.1073741827.1818120751735505/1831434743737439/?type=3,2016-11-22 10:53:22
1818120751735505_1830806930466887,,Timeline Photos,photo,https://www.facebook.com/SelectedAmbient/photos/a.1818158515065062.1073741827.1818120751735505/1830806930466887/?type=3,2016-11-21 00:00:35
1818120751735505_1830627123818201,,Timeline Photos,photo,https://www.facebook.com/SelectedAmbient/photos/a.1818158515065062.1073741827.1818120751735505/1830627123818201/?type=3,2016-11-20 12:18:40
1818120751735505_1830625830484997,Majestic,Timeline Photos,photo,https://www.facebook.com/SelectedAmbient/photos/a.1818158515065062.1073741827.1818120751735505/1830625830484997/?type=3,2016-11-20 12:14:05
1818120751735505_1830270083853905,,Timeline Photos,photo,https://www.facebook.com/SelectedAmbient/photos/a.1818158515065062.1073741827.1818120751735505/1830270083853905/?type=3,2016-11-19 15:18:53
1818120751735505_1830262413854672,throwback,Timeline Photos,photo,https://www.facebook.com/SelectedAmbient/photos/a.1818158515065062.1073741827.1818120751735505/1830262413854672/?type=3,2016-11-19 14:47:00
1818120751735505_1830202840527296,This is the face of depression according to wikipedia,Timeline Photos,photo,https://www.facebook.com/SelectedAmbient/photos/a.1818158515065062.1073741827.1818120751735505/1830202840527296/?type=3,2016-11-19 11:19:50
1818120751735505_1829970247217222,,Shanghaiist,video,https://www.facebook.com/shanghaiist/videos/10155152537991030/,2016-11-18 21:42:58
1818120751735505_1828725924008321,,Timeline Photos,photo,https://www.facebook.com/SelectedAmbient/photos/a.1818158515065062.1073741827.1818120751735505/1828725924008321/?type=3,2016-11-15 20:12:42
1818120751735505_1828676204013293,,Timeline Photos,photo,https://www.facebook.com/SelectedAmbient/photos/a.1818158515065062.1073741827.1818120751735505/1828676204013293/?type=3,2016-11-15 16:46:30
1818120751735505_1828317954049118,What did he mean by this?,Timeline Photos,photo,https://www.facebook.com/SelectedAmbient/photos/a.1818158515065062.1073741827.1818120751735505/1828317954049118/?type=3,2016-11-14 18:12:04
1818120751735505_1827898647424382,Bullhell,Timeline Photos,photo,https://www.facebook.com/SelectedAmbient/photos/a.1818158515065062.1073741827.1818120751735505/1827898647424382/?type=3,2016-11-13 17:16:20
1818120751735505_1827786074102306,Fin rot,Timeline Photos,photo,https://www.facebook.com/SelectedAmbient/photos/a.1818158515065062.1073741827.1818120751735505/1827786074102306/?type=3,2016-11-13 10:35:32
1818120751735505_1827694910778089,,Timeline Photos,photo,https://www.facebook.com/SelectedAmbient/photos/a.1818158515065062.1073741827.1818120751735505/1827694910778089/?type=3,2016-11-13 05:41:47
1818120751735505_1827600377454209,,Timeline Photos,photo,https://www.facebook.com/SelectedAmbient/photos/a.1818158515065062.1073741827.1818120751735505/1827600377454209/?type=3,2016-11-12 23:37:59
1818120751735505_1827593027454944,Or from THIS...to THIS?,Photos from Selected Ambient Memes Vol. IV's post,photo,https://www.facebook.com/SelectedAmbient/photos/a.1818158515065062.1073741827.1818120751735505/1827592890788291/?type=3,2016-11-12 23:00:11
1818120751735505_1827592254121688,How do you go from THIS...to THIS?,Photos from Selected Ambient Memes Vol. IV's post,photo,https://www.facebook.com/SelectedAmbient/photos/a.1818158515065062.1073741827.1818120751735505/1827592104121703/?type=3,2016-11-12 22:56:44
1818120751735505_1827507424130171,,Timeline Photos,photo,https://www.facebook.com/SelectedAmbient/photos/a.1818158515065062.1073741827.1818120751735505/1827507424130171/?type=3,2016-11-12 17:11:33
1818120751735505_1827478507466396,,The LAD Bible,video,https://www.facebook.com/LADbible/videos/2853562778024227/,2016-11-12 15:01:49
1818120751735505_1827160757498171,really makes you think https://mises.org/library/marxs-path-communism,Timeline Photos,photo,https://www.facebook.com/SelectedAmbient/photos/a.1818158515065062.1073741827.1818120751735505/1827160757498171/?type=3,2016-11-11 20:26:26
1818120751735505_1827121100835470,,Timeline Photos,photo,https://www.facebook.com/SelectedAmbient/photos/a.1818158515065062.1073741827.1818120751735505/1827121100835470/?type=3,2016-11-11 17:04:46
1818120751735505_1827007294180184,,Timeline Photos,photo,https://www.facebook.com/SelectedAmbient/photos/a.1818158515065062.1073741827.1818120751735505/1827007294180184/?type=3,2016-11-11 10:47:11
1818120751735505_1826780534202860,"""I don't wash my hands after I pee""",Timeline Photos,photo,https://www.facebook.com/SelectedAmbient/photos/a.1818158515065062.1073741827.1818120751735505/1826780534202860/?type=3,2016-11-10 23:02:50
1818120751735505_1825401414340772,rip,Timeline Photos,photo,https://www.facebook.com/SelectedAmbient/photos/a.1818158515065062.1073741827.1818120751735505/1825401414340772/?type=3,2016-11-07 23:36:18
1818120751735505_1825381277676119,,Timeline Photos,photo,https://www.facebook.com/SelectedAmbient/photos/a.1818158515065062.1073741827.1818120751735505/1825381277676119/?type=3,2016-11-07 22:18:47
1818120751735505_1825330674347846,give it to me babyy,Timeline Photos,photo,https://www.facebook.com/SelectedAmbient/photos/a.1818158515065062.1073741827.1818120751735505/1825330674347846/?type=3,2016-11-07 19:58:56
1818120751735505_1825283011019279,Just dont,Baby's names,link,https://www.facebook.com/GreatBabysNames/posts/894979200637118,2016-11-07 16:40:44
1818120751735505_1825046881042892,Nailed it,Timeline Photos,photo,https://www.facebook.com/SelectedAmbient/photos/a.1818158515065062.1073741827.1818120751735505/1825046881042892/?type=3,2016-11-07 10:23:37
1818120751735505_1824782387736008,,Timeline Photos,photo,https://www.facebook.com/SelectedAmbient/photos/a.1818158515065062.1073741827.1818120751735505/1824782387736008/?type=3,2016-11-06 21:45:52
1818120751735505_1824723224408591,I love chilidogs,Timeline Photos,photo,https://www.facebook.com/SelectedAmbient/photos/a.1818158515065062.1073741827.1818120751735505/1824723224408591/?type=3,2016-11-06 18:16:10
1818120751735505_1824707381076842,,Timeline Photos,photo,https://www.facebook.com/SelectedAmbient/photos/a.1818158515065062.1073741827.1818120751735505/1824707381076842/?type=3,2016-11-06 17:10:49
1818120751735505_1824121997802047,#Whoa #Wow,HoodPocahontas,photo,https://www.facebook.com/HoodPocahontas/photos/a.787393481366007.1073741827.787392161366139/946099735495380/?type=3,2016-11-05 13:14:25
1818120751735505_1823295657884681,I'm interested,Timeline Photos,photo,https://www.facebook.com/SelectedAmbient/photos/a.1818158515065062.1073741827.1818120751735505/1823295657884681/?type=3,2016-11-03 19:06:42
1818120751735505_1823257311221849,,i.imgur.com,link,http://i.imgur.com/ipnggbG.gif,2016-11-03 16:44:35
1818120751735505_1822922017922045,,Timeline Photos,photo,https://www.facebook.com/SelectedAmbient/photos/a.1818158515065062.1073741827.1818120751735505/1822922017922045/?type=3,2016-11-03 01:01:19
