status_id,status_message,link_name,status_type,status_link,status_published
1652288325086411_1708413669473876,Been really feeling this tho,Timeline Photos,photo,https://www.facebook.com/babyboyinc420/photos/a.1665642847084292.1073741828.1652288325086411/1708413669473876/?type=3,2016-11-30 22:40:32
1652288325086411_1708159259499317,"Just when I got used to my six digit iPhone passcode it made me switch back to a four digit one.

Fuck you I'm getting a Samsung",,status,,2016-11-30 10:34:32
1652288325086411_1707195752929001,"Me: Please don't spoil the new Pokemon, I haven't played it yet

Co-worker: I would never do that *emails pictures of every new Pokemon to me*",,status,,2016-11-28 14:32:53
1652288325086411_1706201349695108,Baby call me Hollyboy,Drug Infused Memes,photo,https://www.facebook.com/druggedupmemes/photos/a.433876876821663.1073741828.433873000155384/601431246732891/?type=3,2016-11-26 17:09:13
1652288325086411_1706157099699533,I'm visiting my old school today and getting tinder matches like... Frig off u had ur chance,,status,,2016-11-26 15:13:35
1652288325086411_1705972219718021,Only mids and moms for me thx,Sᴇʟᴇᴄᴛᴇᴅ Aᴍʙɪᴇɴᴛ Mᴇᴍᴇs Vᴏʟ. III,link,https://www.facebook.com/SelectedAmbientMemesV3/posts/713426175472334,2016-11-26 06:49:08
1652288325086411_1705478736434036,Don't call me knuggles for nothing I can't do,Timeline Photos,photo,https://www.facebook.com/babyboyinc420/photos/a.1665642847084292.1073741828.1652288325086411/1705478736434036/?type=3,2016-11-25 08:39:48
1652288325086411_1705221769793066,"I don't usually share anything that isn't meme trash on here but I'm kind of stoked on this vid 

https://www.youtube.com/watch?v=vbMQfaG6lo8",Majora's Mask - Terrible Fate,video,https://www.youtube.com/watch?v=vbMQfaG6lo8,2016-11-24 21:30:19
1652288325086411_1704929899822253,"I see a lot of people I know who have given up on life and are just trying to become Instagram models. 

They make posts like normal Instagram models but the only people that comment is their grandma who was on Facebook but got lost",,status,,2016-11-24 07:29:30
1652288325086411_1702756216706288,See comments,Sᴇʟᴇᴄᴛᴇᴅ Aᴍʙɪᴇɴᴛ Mᴇᴍᴇs Vᴏʟ. III,link,https://www.facebook.com/SelectedAmbientMemesV3/posts/710355119112773,2016-11-20 01:32:27
1652288325086411_1702203920094851,"This fight will be done in two hits, my fist hitting your face and my pussy hitting the floor!",,status,,2016-11-18 21:35:04
1652288325086411_1701698570145386,"""The PSP is how I discovered porn""

- Some fucking idiot named Mark",,status,,2016-11-17 19:38:50
1652288325086411_1701015443547032,"This is still one of the funniest dog memes I've ever seen

And boy howdy does this baby boy see a lot of dog memes 

Get me to 500 meme slaves",Pupper Doggo,photo,https://www.facebook.com/puppersdoggos/photos/a.1011082769010940.1073741827.1011080919011125/1087457371373479/?type=3,2016-11-16 08:26:50
1652288325086411_1699257183722858,Stunts,Drug Infused Memes,photo,https://www.facebook.com/druggedupmemes/photos/a.433876876821663.1073741828.433873000155384/595129404029742/?type=3,2016-11-12 14:02:55
1652288325086411_1699130397068870,"Plz release Waluigi Kissing Sim I know you're keeping it from me Nintendo

I WANT THOSE FRIGGIN KISSES",Do Androids Dream of Electric Memes?,link,https://www.facebook.com/dreamdelaelectricmeme/posts/1140388359361406,2016-11-12 10:02:02
1652288325086411_1698429130472330,They're good dogs Brent,Timeline Photos,photo,https://www.facebook.com/babyboyinc420/photos/a.1665642847084292.1073741828.1652288325086411/1698429130472330/?type=3,2016-11-11 05:19:09
1652288325086411_1698147800500463,"""When I go to Chinatown I get drunk and never get laid.
My mind is made up there's going to be trouble.
You should have seen me reading Marx.
My psychoanalyst thinks I'm perfectly right.
I won't say the Lord's Prayer.
I have mystical visions and cosmic vibrations.
America I still haven't told you what you did to Uncle Max after he came over from Russia.""",,status,,2016-11-10 16:48:48
1652288325086411_1697216407260269,who I voted for,Sᴇʟᴇᴄᴛᴇᴅ Aᴍʙɪᴇɴᴛ Mᴇᴍᴇs Vᴏʟ. III,photo,https://www.facebook.com/SelectedAmbientMemesV3/photos/a.633418346806451.1073741827.633416140140005/705106446304307/?type=3,2016-11-09 06:23:44
1652288325086411_1696639477317962,I'm gonna be in the vicinity of a Taco Bell at the end of the month so I guess I should start posting more to get that sweet sweet five hundee,Timeline Photos,photo,https://www.facebook.com/babyboyinc420/photos/a.1665642847084292.1073741828.1652288325086411/1696639477317962/?type=3,2016-11-08 07:36:08
1652288325086411_1696038977378012,Butt I hate mondays,Selected Ambient Memes Vol. IV,photo,https://www.facebook.com/SelectedAmbient/photos/a.1818158515065062.1073741827.1818120751735505/1824723224408591/?type=3,2016-11-07 07:41:04
1652288325086411_1693424450972798,"Just saw a used condom by an alley, and now I have diarrhea",,status,,2016-11-03 04:43:57
1652288325086411_1689971661318077,I don't know how this makes me feel,Lasagna club,photo,https://www.facebook.com/lasagnaclubaaa/photos/a.192342514530310.1073741827.192312657866629/208035046294390/?type=3,2016-10-28 17:56:19
1652288325086411_1689628174685759,"I saw this comment on a video ad for a fake plastic tongue you can use to lick your cats (I don't knows other:

Sometimes, whenever I eat M&Ms, I like to hold two M&M's in between my fingers and squeeze as hard as I can until one M&M cracks. I eat the cracked one, and the one that didn't crack becomes the champion. Then I grab the other M&M, and force it to compete with the champion in this deadly game of M&M gladiators. I do this until I run out of M&M's, and when there is only one m&m left standing, I send a letter to M&M's brand with the champion M&M in it with a note attached that reads: ""Please use this M&M for breeding purposes.""",,status,,2016-10-28 04:19:42
1652288325086411_1689323474716229,What should I do when I get to 500 likes?,,status,,2016-10-27 14:54:00
1652288325086411_1689038674744709,You think you were young?,Do Androids Dream of Electric Memes?,photo,https://www.facebook.com/dreamdelaelectricmeme/photos/a.773684782698434.1073741829.773674359366143/1125941624139413/?type=3,2016-10-27 03:51:28
1652288325086411_1688193041495939,"Today I had a client request ""Anime Husband"" as there successor....",,status,,2016-10-25 15:25:10
1652288325086411_1686985911616652,"Some girl: ""I'm so adulting rn"" 
Me: ""Wanna see a magic trick?""
*tears out own spine and uses it to perform a self-enema*",,status,,2016-10-23 16:06:20
1652288325086411_1686935908288319,I just bowled a strike y'all can go frig urselfs,,status,,2016-10-23 14:18:50
1652288325086411_1686238598358050,"This digimon looks sick??

Somebody call his dad!",Do Androids Dream of Electric Memes?,photo,https://www.facebook.com/dreamdelaelectricmeme/photos/a.773684782698434.1073741829.773674359366143/1121609801239262/?type=3,2016-10-22 13:40:56
1652288325086411_1686072895041287,u herd em boys,Do Androids Dream of Electric Memes?,photo,https://www.facebook.com/dreamdelaelectricmeme/photos/a.773684782698434.1073741829.773674359366143/1121631524570423/?type=3,2016-10-22 08:35:02
1652288325086411_1684816768500233,Nintendo Switch Boy has a headphone jack so it's already a better phone than the iPhone 7 lol,,status,,2016-10-20 10:51:25
1652288325086411_1684454318536478,"Please stop me

https://www.youtube.com/watch?v=TCeEAHG0x-4",Pumpkin Hill (Live Action),video,https://www.youtube.com/watch?v=TCeEAHG0x-4,2016-10-19 19:02:41
1652288325086411_1684454078536502,"Pumpkin Heck

https://www.youtube.com/watch?v=2dW4UgE5mhY",Pumpkin Hell,video,https://www.youtube.com/watch?v=2dW4UgE5mhY,2016-10-19 19:01:59
1652288325086411_1684439948537915,"I just saw an ad for YuGiOh cards on Instagram.

Can somebody tell me what the fuck is going on?",,status,,2016-10-19 18:10:44
1652288325086411_1684184241896819,"It's my 1 year work anniversary and people keep e-mailing me pictures of minions. 

I want out",,status,,2016-10-19 08:01:54
1652288325086411_1683991511916092,Does anybody have a gun or like some cyanide pills?,Timeline Photos,photo,https://www.facebook.com/babyboyinc420/photos/a.1665642847084292.1073741828.1652288325086411/1683991511916092/?type=3,2016-10-18 23:49:04
1652288325086411_1683590801956163,"Fresh dick level x 9999 about to limit breeeeeeaaaaak

Brrrrat brrrrrat",Timeline Photos,photo,https://www.facebook.com/babyboyinc420/photos/a.1665642847084292.1073741828.1652288325086411/1683590801956163/?type=3,2016-10-18 07:31:13
1652288325086411_1683291241986119,I just matched my ex on tinder... Should I kill myself now or like....,,status,,2016-10-17 17:40:16
1652288325086411_1683021438679766,"The producers of Darkened Skye, the 2003 Skittles RPG, forbid the inclusions of snakes in the game.",,status,,2016-10-17 07:59:05
1652288325086411_1682978472017396,TIL: Elder Scrolls Sonic Mods exist,,status,,2016-10-17 06:21:44
1652288325086411_1681881658793744,"Okay

Okay

So I saw this on my Facebook shit stream meme dream or whatever you call it

It doesn't even make sense!

Why the fuck does the dad have his daughter in his phone as ""Dad"" 

Did the person who made this ever even send a text message before?

What the fuck is this?

I want answers

I want justice

I want everybody's sonic OCs posted below",Uncle Tony,photo,https://www.facebook.com/transformation365/photos/a.305645812787649.79031.305545716130992/1312755708743316/?type=3,2016-10-15 09:53:54
1652288325086411_1681832112132032,🙌🏼🙌🏼💦👌🏽,Do Androids Dream of Electric Memes?,photo,https://www.facebook.com/dreamdelaelectricmeme/photos/a.773684782698434.1073741829.773674359366143/1115363448530564/?type=3,2016-10-15 08:14:53
1652288325086411_1681482762166967,"Sitting at home on Friday night making rice and thinking of things I could do to Danny DeVito's likeness. 

And they say our lives have no purpose",Timeline Photos,photo,https://www.facebook.com/babyboyinc420/photos/a.1665642847084292.1073741828.1652288325086411/1681482762166967/?type=3,2016-10-14 17:45:13
1652288325086411_1680778115570765,"I just checked my likes and I'm at 421

I might kill myself",,status,,2016-10-13 14:01:57
1652288325086411_1680777652237478,Any of you new likes wanna give me ur credit card number?,Timeline Photos,photo,https://www.facebook.com/babyboyinc420/photos/a.1665642847084292.1073741828.1652288325086411/1680777652237478/?type=3,2016-10-13 14:00:44
1652288325086411_1680763325572244,"So I looked up ""horny boots"" on google images to get a glossy jpeg for that last post. Lots of returns on the horny..... Not so much the boots though Google",,status,,2016-10-13 13:13:24
1652288325086411_1680763142238929,These boots give you +1 DEX but they also make you super horny,,status,,2016-10-13 13:12:26
1652288325086411_1679858722329371,But srsly chu eat my gogurts boi?,Drug Infused Memes,photo,https://www.facebook.com/druggedupmemes/photos/a.433876876821663.1073741828.433873000155384/579459922263357/?type=3,2016-10-11 19:33:48
1652288325086411_1679518975696679,"If you're looking for hookups forget it I only want REAL conversations

420 friendly
Music
Netflix

idk why I even have this 

Easy copy/paste for everybody's tinder bio. That way you won't leave out one iota of interesting information about yourself",,status,,2016-10-11 05:53:21
1652288325086411_1679209469060963,"Ways I have changed in the past five years:

I used to say ""yay!"" five years ago.

I do not say ""yay!"" very much anymore.",,status,,2016-10-10 14:09:58
1652288325086411_1677147975933779,"I only need 16 more likes to get to 420

Please dad I'm so close",,status,,2016-10-06 14:23:34
1652288325086411_1677147782600465,"Just beat my mom at scrabble, what a fucking loser",Timeline Photos,photo,https://www.facebook.com/babyboyinc420/photos/a.1665642847084292.1073741828.1652288325086411/1677147782600465/?type=3,2016-10-06 14:22:35
1652288325086411_1676688232646420,We done it again,Timeline Photos,photo,https://www.facebook.com/babyboyinc420/photos/a.1665642847084292.1073741828.1652288325086411/1676688232646420/?type=3,2016-10-05 17:39:48
1652288325086411_1675026002812643,"People who list ""Netflix"" under interests",,status,,2016-10-02 11:45:50
