status_id,status_message,link_name,status_type,status_link,status_published
1544516185842750_1627606814200353,,Birds tho,video,https://www.facebook.com/BirdsThoCo/videos/1157656474318039/,2016-11-28 23:39:56
1544516185842750_1620935458200822,fuck me up,Osiris d3 2001.AVI,video,https://www.youtube.com/watch?v=udjEwGC0Kao,2016-11-11 19:10:31
1544516185842750_1615357748758593,,成龍 Jackie Chan,photo,https://www.facebook.com/jackie/photos/a.98876792317.90092.30382852317/10154717527672318/?type=3,2016-10-28 11:35:58
1544516185842750_1615044148789953,,Gangster Popeye,photo,https://www.facebook.com/GANGSTERPOPEYE/photos/a.576128345901264.1073741827.576126579234774/625735077607257/?type=3,2016-10-27 15:05:53
1544516185842750_1613970542230647,boyoyoing,Timeline Photos,photo,https://www.facebook.com/clickb8/photos/a.1547724475521921.1073741827.1544516185842750/1613970542230647/?type=3,2016-10-25 02:15:44
1544516185842750_1613296438964724,Flush or die life.,Timeline Photos,photo,https://www.facebook.com/clickb8/photos/a.1547724475521921.1073741827.1544516185842750/1613296438964724/?type=3,2016-10-23 13:20:37
1544516185842750_1611529215808113,rip piss rip piss,Timeline Photos,photo,https://www.facebook.com/clickb8/photos/a.1547724475521921.1073741827.1544516185842750/1611529215808113/?type=3,2016-10-19 11:56:01
1544516185842750_1611528845808150,"Double duty pp station, get yr fill in",Internet by night,photo,https://www.facebook.com/Internetbynight/photos/a.731903206854504.1073741828.731790166865808/1313338965377589/?type=3,2016-10-19 11:54:29
1544516185842750_1610906075870427,There is a light that never goes out,Timeline Photos,photo,https://www.facebook.com/clickb8/photos/a.1547724475521921.1073741827.1544516185842750/1610906075870427/?type=3,2016-10-18 01:25:35
1544516185842750_1607572952870406,Pool party,keep it vague,photo,https://www.facebook.com/keepitvague/photos/a.1444300622530996.1073741827.1444297309197994/1617292231898500/?type=3,2016-10-09 13:26:48
1544516185842750_1607520552875646,Just crawl into my pee hole already 😣,Timeline Photos,photo,https://www.facebook.com/clickb8/photos/a.1547724475521921.1073741827.1544516185842750/1607520552875646/?type=3,2016-10-09 09:58:27
1544516185842750_1605697166391318,Hey Tony at least poke a hole through it,Timeline Photos,photo,https://www.facebook.com/clickb8/photos/a.1547724475521921.1073741827.1544516185842750/1605697166391318/?type=3,2016-10-04 19:50:05
1544516185842750_1605688943058807,real admin pic,Timeline Photos,photo,https://www.facebook.com/clickb8/photos/a.1547724475521921.1073741827.1544516185842750/1605688943058807/?type=3,2016-10-04 19:05:42
1544516185842750_1605420539752314,,Cigarettes in unusual places,photo,https://www.facebook.com/578004778976471/photos/a.579116492198633.1073741827.578004778976471/977327242377554/?type=3,2016-10-04 00:27:59
1544516185842750_1604573273170374,tbh,Timeline Photos,photo,https://www.facebook.com/clickb8/photos/a.1547724475521921.1073741827.1544516185842750/1604573273170374/?type=3,2016-10-01 23:21:52
1544516185842750_1604554486505586,ass static af,Timeline Photos,photo,https://www.facebook.com/clickb8/photos/a.1547724475521921.1073741827.1544516185842750/1604554486505586/?type=3,2016-10-01 21:54:43
1544516185842750_1604260526534982,Tryna get zucked TBH,,status,,2016-10-01 03:46:58
1544516185842750_1603107999983568,,Sᴇʟᴇᴄᴛᴇᴅ Aᴍʙɪᴇɴᴛ Mᴇᴍᴇs Vᴏʟ. III,link,https://www.facebook.com/SelectedAmbientMemesV3/posts/682129375268681,2016-09-27 19:55:36
1544516185842750_1602790396681995,serious sinners only pls,Timeline Photos,photo,https://www.facebook.com/clickb8/photos/a.1547724475521921.1073741827.1544516185842750/1602790396681995/?type=3,2016-09-26 20:55:28
1544516185842750_1602786166682418,when mom says no more pp but you're angsty af,Timeline Photos,photo,https://www.facebook.com/clickb8/photos/a.1547724475521921.1073741827.1544516185842750/1602786166682418/?type=3,2016-09-26 20:29:06
1544516185842750_1602785736682461,no pp needed when you got the beef,Timeline Photos,photo,https://www.facebook.com/clickb8/photos/a.1547724475521921.1073741827.1544516185842750/1602785736682461/?type=3,2016-09-26 20:28:30
1544516185842750_1602688413358860,,Timeline Photos,photo,https://www.facebook.com/clickb8/photos/a.1547724475521921.1073741827.1544516185842750/1602688413358860/?type=3,2016-09-26 13:28:57
