status_id,status_message,link_name,status_type,status_link,status_published
1759369307678413_1838264823122194,Big dick back in town,Timeline Photos,photo,https://www.facebook.com/dadspot.biz/photos/a.1759390634342947.1073741827.1759369307678413/1838264823122194/?type=3,2016-11-15 20:50:47
1759369307678413_1824833721131971,fuck u dad,Timeline Photos,photo,https://www.facebook.com/dadspot.biz/photos/a.1759390634342947.1073741827.1759369307678413/1824833721131971/?type=3,2016-10-24 22:28:09
1759369307678413_1817206661894677,fuckin' suckah got slammed on!,ClickHole,video,https://www.facebook.com/clickhole/videos/1721535458086713/,2016-10-12 11:06:22
1759369307678413_1813237092291634,"Watch out son, your daddo just found some new dads to make a family with, and there's not much room on the couch for you between me and them",I Feel It,photo,https://www.facebook.com/feelskid/photos/a.1406984499523499.1073741826.1406983916190224/1875978782624066/?type=3,2016-10-04 20:05:21
1759369307678413_1810125709269439,Throwdown at my son's funeral!,,status,,2016-09-28 20:47:14
1759369307678413_1810044245944252,"""beet off"" -dadmin",Timeline Photos,photo,https://www.facebook.com/dadspot.biz/photos/a.1759390634342947.1073741827.1759369307678413/1810044245944252/?type=3,2016-09-28 16:33:42
1759369307678413_1809477699334240,Dont forget to kiss your dad,Timeline Photos,photo,https://www.facebook.com/dadspot.biz/photos/a.1759390634342947.1073741827.1759369307678413/1809477699334240/?type=3,2016-09-27 15:38:23
1759369307678413_1808775399404470,,Dadspot's cover photo,photo,https://www.facebook.com/dadspot.biz/photos/a.1808775376071139.1073741828.1759369307678413/1808775356071141/?type=3,2016-09-26 07:02:01
1759369307678413_1803002329981777,Goooood boy,Timeline Photos,photo,https://www.facebook.com/dadspot.biz/photos/a.1759390634342947.1073741827.1759369307678413/1803002329981777/?type=3,2016-09-15 11:57:22
1759369307678413_1794583167490360,Dadnet,Timeline Photos,photo,https://www.facebook.com/dadspot.biz/photos/a.1759390634342947.1073741827.1759369307678413/1794583167490360/?type=3,2016-08-30 16:53:09
1759369307678413_1793793924235951,need more saddle daddies,Timeline Photos,photo,https://www.facebook.com/dadspot.biz/photos/a.1759390634342947.1073741827.1759369307678413/1793793924235951/?type=3,2016-08-29 07:02:50
1759369307678413_1793472994268044,Think about it,Timeline Photos,photo,https://www.facebook.com/dadspot.biz/photos/a.1759390634342947.1073741827.1759369307678413/1793472994268044/?type=3,2016-08-28 14:39:32
1759369307678413_1792899954325348,,Timeline Photos,photo,https://www.facebook.com/dadspot.biz/photos/a.1759390634342947.1073741827.1759369307678413/1792899954325348/?type=3,2016-08-27 12:52:53
1759369307678413_1781469052135105,,Timeline Photos,photo,https://www.facebook.com/dadspot.biz/photos/a.1759390634342947.1073741827.1759369307678413/1781469052135105/?type=3,2016-08-05 10:50:52
1759369307678413_1781236432158367,"I want him on the bbq and I want him now!
What's your bbq dad like?",Timeline Photos,photo,https://www.facebook.com/dadspot.biz/photos/a.1759390634342947.1073741827.1759369307678413/1781236432158367/?type=3,2016-08-05 00:08:21
