status_id,status_message,link_name,status_type,status_link,status_published
178630919163138_361763417516553,,Timeline Photos,photo,https://www.facebook.com/netflixecosystem/photos/a.178632295829667.1073741827.178630919163138/361763417516553/?type=3,2016-11-30 00:18:23
178630919163138_360323817660513,,Timeline Photos,photo,https://www.facebook.com/netflixecosystem/photos/a.178632295829667.1073741827.178630919163138/360323817660513/?type=3,2016-11-29 18:36:01
178630919163138_361337760892452,"it is 2068, you're 80 years old and you don't understand technology, other people, nor yourself anymore;",,status,,2016-11-29 03:32:30
178630919163138_360323757660519,,Timeline Photos,photo,https://www.facebook.com/netflixecosystem/photos/a.178632295829667.1073741827.178630919163138/360323757660519/?type=3,2016-11-28 18:35:00
178630919163138_361158994243662,,Stale memes for normie has-beens,link,http://i.imgur.com/Uae7a83.gif,2016-11-28 18:12:52
178630919163138_361157590910469,,Mateusz,photo,https://www.facebook.com/photo.php?fbid=208948209555031&set=gm.588055274735149&type=3,2016-11-28 18:08:02
178630919163138_360772770948951,,media.giphy.com,link,https://media.giphy.com/media/3o6gDTTmXePbWbboOI/giphy.gif,2016-11-28 02:16:37
178630919163138_359177364441825,,Timeline Photos,photo,https://www.facebook.com/netflixecosystem/photos/a.178632295829667.1073741827.178630919163138/359177364441825/?type=3,2016-11-27 17:19:00
178630919163138_360574204302141,"get in, loser",Timeline Photos,photo,https://www.facebook.com/netflixecosystem/photos/a.178632295829667.1073741827.178630919163138/360574204302141/?type=3,2016-11-27 15:30:28
178630919163138_360569454302616,,Ｒｏｂｕｓｔ Ｇｏｕｒｍｅｔ Ｍｅｍｅｓ,photo,https://www.facebook.com/robustgourmetmemes/photos/a.1660036577568591.1073741828.1659814437590805/1833265156912398/?type=3,2016-11-27 15:14:16
178630919163138_360564010969827,,コマンドSad220,photo,https://www.facebook.com/alpuro220sad/photos/a.919763714728425.1073741829.919594184745378/1215355655169228/?type=3,2016-11-27 15:01:10
178630919163138_360205144339047,,Fresh Morning Memes,photo,https://www.facebook.com/freshmorningmemes/photos/a.439885116220665.1073741828.439881822887661/536847669857742/?type=3,2016-11-27 00:47:46
178630919163138_359177281108500,,Timeline Photos,photo,https://www.facebook.com/netflixecosystem/photos/a.178632295829667.1073741827.178630919163138/359177281108500/?type=3,2016-11-26 17:18:00
178630919163138_359177184441843,,Timeline Photos,photo,https://www.facebook.com/netflixecosystem/photos/a.178632295829667.1073741827.178630919163138/359177184441843/?type=3,2016-11-25 17:18:00
178630919163138_359284871097741,,Gary Busey,photo,https://www.facebook.com/garybusey/photos/a.216929641779468.51082.215923445213421/765576053581488/?type=3,2016-11-25 07:19:06
178630919163138_359159831110245,,Hormel,photo,https://www.facebook.com/photo.php?fbid=10209641847181356&set=gm.585924658281544&type=3,2016-11-25 02:09:08
178630919163138_359155907777304,,Phillip,photo,https://www.facebook.com/photo.php?fbid=378905815782257&set=gm.585933271614016&type=3,2016-11-25 02:05:02
178630919163138_358949061131322,only those with the deepest inner peace are able to take long showers at the most urgent of times,,status,,2016-11-24 14:24:33
178630919163138_358897701136458,,ＷＥＢ ＪＵＮＫ,photo,https://www.facebook.com/internetrubbish/photos/a.198262380580615.1073741827.198260873914099/198920803848106/?type=3,2016-11-24 13:09:48
178630919163138_358314767861418,,"Kevin 3: In case of a Zuckmergency, break glass",photo,https://www.facebook.com/Kevin3version3/photos/a.1762017387365359.1073741828.1761640670736364/1856713944562369/?type=3,2016-11-23 13:24:39
178630919163138_357673914592170,,pappy dage,video,https://www.youtube.com/watch?v=_HbdbVNLfkY,2016-11-22 05:24:20
178630919163138_357404011285827,,Timeline Photos,photo,https://www.facebook.com/netflixecosystem/photos/a.178632295829667.1073741827.178630919163138/357404011285827/?type=3,2016-11-21 14:00:36
178630919163138_356424794717082,,918,photo,https://www.facebook.com/525401130975608/photos/a.662170003965386.1073741833.525401130975608/662170053965381/?type=3,2016-11-19 14:43:06
178630919163138_354990864860475,,Timeline Photos,photo,https://www.facebook.com/netflixecosystem/photos/a.178632295829667.1073741827.178630919163138/354990864860475/?type=3,2016-11-18 17:21:00
178630919163138_354990684860493,,Timeline Photos,photo,https://www.facebook.com/netflixecosystem/photos/a.178632295829667.1073741827.178630919163138/354990684860493/?type=3,2016-11-17 17:21:02
178630919163138_354989628193932,Trolley problem memes,Timeline Photos,photo,https://www.facebook.com/netflixecosystem/photos/a.178632295829667.1073741827.178630919163138/354989628193932/?type=3,2016-11-16 18:39:57
178630919163138_354354418257453,,Timeline Photos,photo,https://www.facebook.com/netflixecosystem/photos/a.178632295829667.1073741827.178630919163138/354354418257453/?type=3,2016-11-15 16:44:33
178630919163138_353791624980399,,Timeline Photos,photo,https://www.facebook.com/netflixecosystem/photos/a.178632295829667.1073741827.178630919163138/353791624980399/?type=3,2016-11-14 13:03:45
178630919163138_352412441784984,,Timeline Photos,photo,https://www.facebook.com/netflixecosystem/photos/a.178632295829667.1073741827.178630919163138/352412441784984/?type=3,2016-11-12 17:27:02
178630919163138_352408795118682,,フレッドYOLO,photo,https://www.facebook.com/freddyolo420/photos/a.593750870647612.1073741828.593748813981151/1255626361126723/?type=3,2016-11-12 01:05:20
178630919163138_352408021785426,,Neo Mexico,photo,https://www.facebook.com/NEOMEXlCO/photos/a.1637231076545112.1073741828.1637229776545242/1824906054444279/?type=3,2016-11-12 01:01:37
178630919163138_352404941785734,,Maria,link,,2016-11-12 00:49:15
178630919163138_352224185137143,I can immediately tell this algorithm needs some serious fixing.,Timeline Photos,photo,https://www.facebook.com/netflixecosystem/photos/a.178632295829667.1073741827.178630919163138/352224185137143/?type=3,2016-11-11 15:04:46
178630919163138_351888931837335,,Living in Asia Ironically,photo,https://www.facebook.com/livinginchinaironically/photos/a.1522304564748133.1073741828.1522297268082196/1695171674128087/?type=3,2016-11-11 00:39:38
178630919163138_349955525364009,,Timeline Photos,photo,https://www.facebook.com/netflixecosystem/photos/a.178632295829667.1073741827.178630919163138/349955525364009/?type=3,2016-11-10 17:32:00
178630919163138_344143809278514,,Timeline Photos,photo,https://www.facebook.com/netflixecosystem/photos/a.178632295829667.1073741827.178630919163138/344143809278514/?type=3,2016-11-09 17:21:01
178630919163138_351090015250560,"1. Start watching show.
2. Main character suffers from anxiety/depression.
3. Identify with main character.
4. Watch character struggle, waiting to see how they will cope.
5. Be reminded that the character has a special skill/ability they use to get shit done in spite of their anxiety/depression.
6. Continue watching the show as you sink deeper into your bad thoughts.",,status,,2016-11-09 14:19:36
178630919163138_349851292041099,,Neo Mexico,photo,https://www.facebook.com/NEOMEXlCO/photos/a.1637231076545112.1073741828.1637229776545242/1822736577994560/?type=3,2016-11-07 23:15:06
178630919163138_348909898801905,,Neo Mexico,photo,https://www.facebook.com/NEOMEXlCO/photos/a.1637231076545112.1073741828.1637229776545242/1822158714719013/?type=3,2016-11-07 04:16:20
178630919163138_341963266163235,,Timeline Photos,photo,https://www.facebook.com/netflixecosystem/photos/a.178632295829667.1073741827.178630919163138/341963266163235/?type=3,2016-11-06 19:41:00
178630919163138_348667008826194,,P ｏ ｌ ｉ ｓ ｈ ｅ ｄ 上品な,link,http://neo.jpl.nasa.gov/j002e3/j002e3d.gif,2016-11-06 15:33:01
178630919163138_348185415541020,"mexicans be like ""racism is a usa thing""",Neo Mexico,photo,https://www.facebook.com/NEOMEXlCO/photos/a.1637231076545112.1073741828.1637229776545242/1821546208113597/?type=3,2016-11-05 23:53:27
178630919163138_341529432873285,,Timeline Photos,photo,https://www.facebook.com/netflixecosystem/photos/a.178632295829667.1073741827.178630919163138/341529432873285/?type=3,2016-11-05 17:21:01
178630919163138_346871975672364,,Spicy Memes,photo,https://www.facebook.com/WindowsMemes69/photos/a.1712832609005272.1073741828.1710859879202545/1796012807353918/?type=3,2016-11-04 00:59:20
178630919163138_346869309005964,,Adrian,photo,https://www.facebook.com/photo.php?fbid=1775089249412805&set=gm.575330356007641&type=3,2016-11-04 00:44:25
178630919163138_346868489006046,,Do Androids Dream of Electric Memes?,photo,https://www.facebook.com/dreamdelaelectricmeme/photos/a.773684782698434.1073741829.773674359366143/1132626173470958/?type=3,2016-11-04 00:38:59
178630919163138_341215086238053,,Timeline Photos,photo,https://www.facebook.com/netflixecosystem/photos/a.178632295829667.1073741827.178630919163138/341215086238053/?type=3,2016-11-03 17:11:25
178630919163138_328549364171292,,Timeline Photos,photo,https://www.facebook.com/netflixecosystem/photos/a.178632295829667.1073741827.178630919163138/328549364171292/?type=3,2016-11-03 16:32:00
178630919163138_346179909074904,,Ignacio,link,https://66.media.tumblr.com/819bcccb16a14492752eecc53f63c9bb/tumblr_mnun55ykDU1qhy4dgo1_500.gif,2016-11-02 18:44:00
178630919163138_346168659076029,,Colorful Ｍ ｅ ｍ ｅ ｓ,photo,https://www.facebook.com/colorfulmemes/photos/a.714423508645059.1073741828.714415948645815/1236738996413505/?type=3,2016-11-02 18:06:48
178630919163138_346002565759305,,Internet by night,photo,https://www.facebook.com/Internetbynight/photos/a.731903206854504.1073741828.731790166865808/1327737723937713/?type=3,2016-11-02 10:51:47
178630919163138_330312200661675,,Timeline Photos,photo,https://www.facebook.com/netflixecosystem/photos/a.178632295829667.1073741827.178630919163138/330312200661675/?type=3,2016-11-02 03:39:00
178630919163138_341215679571327,,Timeline Photos,photo,https://www.facebook.com/netflixecosystem/photos/a.178632295829667.1073741827.178630919163138/341215679571327/?type=3,2016-11-01 17:12:02
178630919163138_345513089141586,,Ordure Bizarre,photo,https://www.facebook.com/ordurebizarree/photos/a.713691312059881.1073741828.713689745393371/1076121312483544/?type=3,2016-11-01 14:58:04
178630919163138_345506939142201,,Eduardo,photo,https://www.facebook.com/photo.php?fbid=1151693061565951&set=gm.574226062784737&type=3,2016-11-01 14:51:21
178630919163138_345451825814379,,67.media.tumblr.com,link,https://67.media.tumblr.com/23d75501e858e5ce6e3ff5473471b492/tumblr_no9hi1vJd91sc3a8ho1_500.gif,2016-11-01 13:09:20
178630919163138_345363049156590,,コマンドSad220,photo,https://www.facebook.com/alpuro220sad/photos/a.919763714728425.1073741829.919594184745378/1186184964752964/?type=3,2016-11-01 10:53:40
178630919163138_345256265833935,,Ｒｅｄｅｍｐｔｏｒｉｓ釁,photo,https://www.facebook.com/InternetRenaissance/photos/a.638380682866284.1073741829.638369582867394/1133680023336345/?type=3,2016-11-01 07:39:35
178630919163138_345006365858925,,ＬＳＤ： ＭｅｍｅＥｍｕｌａｔｏｒ,photo,https://www.facebook.com/memecream/photos/a.356224331192564.1073741828.356137657867898/695500693931591/?type=3,2016-10-31 21:51:52
178630919163138_328354977524064,,Timeline Photos,photo,https://www.facebook.com/netflixecosystem/photos/a.178632295829667.1073741827.178630919163138/328354977524064/?type=3,2016-10-31 16:21:00
