status_id,status_message,link_name,status_type,status_link,status_published
833622823422420_996291990488835,Ship is sinking Baby Boy Inc. is the only life boat,,status,,2016-08-19 18:38:07
833622823422420_995652773886090,Does anybody know how to get rid of brain slugs that suck out all of your feel goods? Asking for a friend,,status,,2016-08-18 22:26:32
833622823422420_994941550623879,When u just trine 2 watch ur stations but u get *doggerd*,Timeline Photos,photo,https://www.facebook.com/y666drasil/photos/a.836273496490686.1073741828.833622823422420/994941550623879/?type=3,2016-08-17 21:05:25
833622823422420_994927757291925,"Me n my sweet soft boy Dru6s are at a karaoke bar rn, laterally in heck",,status,,2016-08-17 20:27:18
833622823422420_993544830763551,Just on the stream on Sᴇʟᴇᴄᴛᴇᴅ Aᴍʙɪᴇɴᴛ Mᴇᴍᴇs Vᴏʟ. II check it if you like knives n shit,,status,,2016-08-15 23:44:30
833622823422420_993364577448243,I got promoted today. Ur welcome,,status,,2016-08-15 17:38:43
833622823422420_992597057524995,Somebody stop these men I'm upset,AJ+,video,https://www.facebook.com/ajplusenglish/videos/770349336439909/,2016-08-14 15:25:18
833622823422420_991729174278450,Get the heck out!,Timeline Photos,photo,https://www.facebook.com/y666drasil/photos/a.836273496490686.1073741828.833622823422420/991729174278450/?type=3,2016-08-13 12:17:18
833622823422420_991528774298490,"Run Bunnyfax, show us the meaning of haste!",Puppers UNLEASHED,photo,https://www.facebook.com/unleashpuppers/photos/a.856037251100252.1073741829.856020211101956/1054886211215354/?type=3,2016-08-13 07:26:47
833622823422420_991174477667253,Hungee Boi,ClickHole,video,https://www.facebook.com/clickhole/videos/1748444648729127/,2016-08-12 17:51:20
833622823422420_991173271000707,I'm so mad,,status,,2016-08-12 17:47:22
833622823422420_991173217667379,"Should I even order pizza now?

Maybe I should just get something else..... or not eat?",,status,,2016-08-12 17:47:13
833622823422420_991173107667390,For real trying to find a way to send angry e-mails to Domino's,,status,,2016-08-12 17:46:38
833622823422420_991170237667677,Domino's discount for my work is more expensive than their normal deals they have every day. I'm getting mad as frig,,status,,2016-08-12 17:41:30
833622823422420_991122487672452,"My mom is a level 20 witch queen n my dad is a level 20 adamantium construct. 

Y was I born some sort of trashy lil goblin?",,status,,2016-08-12 15:59:40
833622823422420_990410247743676,lol same,Nihilist Memes,photo,https://www.facebook.com/nihilistmemes/photos/a.583984671716496.1073741827.583969258384704/1029140437200915/?type=3,2016-08-11 17:05:21
833622823422420_990197824431585,Today I helped new girl and she told me I was perfect. I'm ready to die now,,status,,2016-08-11 11:56:40
833622823422420_989806361137398,Don't ever go near me and my son again!,Puppers UNLEASHED,photo,https://www.facebook.com/unleashpuppers/photos/a.856037251100252.1073741829.856020211101956/1052597808110861/?type=3,2016-08-10 21:32:36
833622823422420_989805554470812,Btw I started a secret D&D club so if anybody wants to be in it send me a message. The club fee is a thousand kisses though so like... Idk pay up,,status,,2016-08-10 21:31:24
833622823422420_989801977804503,"Dru6s and some of the Sᴇʟᴇᴄᴛᴇᴅ Aᴍʙɪᴇɴᴛ Mᴇᴍᴇs Vᴏʟ. II are coming to try to do kiss stunts at me. What else should we do besides sick smooch flips?

If u say the beach I will cry and delete my whole life",,status,,2016-08-10 21:21:30
833622823422420_989372957847405,"""What a time to be alive""",The Daily Dot,video,https://www.facebook.com/dailydot/videos/1113900732014246/,2016-08-10 08:23:35
833622823422420_988512847933416,Look out lil babies that's the ever dangerous silly-hat tweet!,Bad Cat,video,https://www.facebook.com/officialbadcat/videos/1586603864974113/,2016-08-09 04:18:08
833622823422420_987269104724457,Busted,Timeline Photos,photo,https://www.facebook.com/y666drasil/photos/a.836273496490686.1073741828.833622823422420/987269104724457/?type=3,2016-08-07 08:17:09
833622823422420_987011371416897,When u confess to ur cyborg manslave that u have accepted ur troll a e s t h e t i c,Timeline Photos,photo,https://www.facebook.com/y666drasil/photos/a.836273496490686.1073741828.833622823422420/987011371416897/?type=3,2016-08-06 23:01:57
833622823422420_987008488083852,Get beened,Green de la Bean,photo,https://www.facebook.com/greendelabean/photos/a.924779357575408.1073741826.924739697579374/1069573796429296/?type=3,2016-08-06 22:56:56
833622823422420_986621904789177,Today at the grocery store I saw the goblin queen steal a child,,status,,2016-08-06 11:08:29
833622823422420_986548368129864,Not short enough,Doggo,link,https://media.giphy.com/media/IvjjgsEhnLCzm/giphy.gif,2016-08-06 09:29:34
833622823422420_986547508129950,Savage af,Stale memes for normie has-beens,photo,https://www.facebook.com/StaleMemesForNormieHasBeens/photos/a.909760915766626.1073741828.878686245540760/1023019001107483/?type=3,2016-08-06 09:27:41
833622823422420_986547118129989,When ur a bad boy n u kno it,Puppers UNLEASHED,photo,https://www.facebook.com/unleashpuppers/photos/a.856037251100252.1073741829.856020211101956/1050237521680223/?type=3,2016-08-06 09:26:42
833622823422420_986049901513044,"I wish my hair wasn't so doofy. Sigh

This message is brought to you by new girl's perfect hair.",,status,,2016-08-05 15:20:30
833622823422420_984136125037755,pewpewpuppup,They Boot Too Big For They Gotdamn Feet,photo,https://www.facebook.com/dogiboots/photos/a.944715982263638.1073741827.944711812264055/1131693673565867/?type=3,2016-08-02 17:56:42
833622823422420_982873058497395,There's a girl I did theatre with and we follow each other on Instagram but we aren't friends on Facebook. Does anything mean anything?,,status,,2016-07-31 23:49:38
833622823422420_982574695193898,Pudge is getting a hecking movie and I'm so excited 😍😍😍,,status,,2016-07-31 11:06:58
833622823422420_982152161902818,"I was looking at the ocean tonight and had a strange thought occur to me

""Light didn't have to reflect off of water, but it does""

I don't think there is some truth buried in this, it was just a nice thought",,status,,2016-07-30 18:57:39
833622823422420_981952721922762,Dru6s is in game of thrones and I'm camping in game of swamp this weekend lol,Dru6s,photo,https://www.facebook.com/Dru6s/photos/a.1650101151925023.1073741828.1650072591927879/1746368188964985/?type=3,2016-07-30 11:16:08
833622823422420_981822505269117,"There's too many girls in my fb feed that share photos about how dudes need to grab girls asses more. No they need to stop and never do it ever again plz 
And I know I can just block them from my timeline but I like to feel the hate",Drug Infused Memes,photo,https://www.facebook.com/druggedupmemes/photos/a.433876876821663.1073741828.433873000155384/548332655376084/?type=3,2016-07-30 07:05:20
833622823422420_981228001995234,On a conference call that makes me want to make like Sam Neill in Event Horizon and rip out my eyes and kill Lawrence Fishburne,,status,,2016-07-29 09:00:36
833622823422420_981109978673703,"Rather not hubris young optimist, as intent played no part. Just an anguished nauseating void at the root of all things",Nihilist Memes,photo,https://www.facebook.com/nihilistmemes/photos/a.583984671716496.1073741827.583969258384704/1020061668108792/?type=3,2016-07-29 04:26:03
833622823422420_981108375340530,Who dis?,Sleepy de la Doggos,photo,https://www.facebook.com/SleepyDoggos/photos/a.649812185123012.1073741828.648595841911313/881924371911791/?type=3,2016-07-29 04:21:12
833622823422420_980868085364559,Now that's exactly how it felt,Heckin pictures of DANG Doggos,link,https://66.media.tumblr.com/18dcaeabbda63f815e8b86ccecbff36f/tumblr_n1o30mRalp1s81czlo1_500.gif,2016-07-28 18:21:18
833622823422420_980842325367135,Nevermind what I said before fuck the meat space I'm ready to enter the cyber world,,status,,2016-07-28 17:25:30
833622823422420_980820798702621,Somebody who I thought liked to pretend not to know me said hi to me today.... Things do get better,,status,,2016-07-28 17:00:40
833622823422420_980543912063643,Support our boys,Bork Bork You are Doing Me A Frighten,link,https://media.giphy.com/media/12Tnr4TIGWNWw/giphy.gif,2016-07-28 07:20:36
833622823422420_980202822097752,Same 😭,Surface Reality Memes,photo,https://www.facebook.com/jimihendrixofcourse/photos/a.384562765072308.1073741828.384561945072390/524681424393774/?type=3,2016-07-27 16:30:49
833622823422420_980169145434453,Toast those boys up!,Doggles,photo,https://www.facebook.com/DogglesNCo/photos/a.1682407041990941.1073741828.1682405981991047/1798470613717916/?type=3,2016-07-27 14:57:40
833622823422420_980102612107773,Some dude is walking down the street shirtless with a Wendy's cup and I'm just wondering when the universe will end,,status,,2016-07-27 12:22:44
833622823422420_979893492128685,Catch a ride baby,UNILAD,video,https://www.facebook.com/uniladmag/videos/2329999770356402/,2016-07-27 05:05:52
833622823422420_979256438859057,Frig off u pervs,Timeline Photos,photo,https://www.facebook.com/y666drasil/photos/a.836273496490686.1073741828.833622823422420/979256438859057/?type=3,2016-07-26 05:36:51
833622823422420_979019795549388,Cool boy world,The End of the Meme,photo,https://www.facebook.com/theendofthememe/photos/a.1804807683083531.1073741829.1804696419761324/1822176464679986/?type=3,2016-07-25 19:10:26
833622823422420_978975018887199,Don heck wit him,UNILAD,video,https://www.facebook.com/uniladmag/videos/2327918717231174/,2016-07-25 17:28:13
833622823422420_978974438887257,My favorite phone call. The life insurance people from my bank. A nice conversation about nihilism,,status,,2016-07-25 17:26:21
833622823422420_978284765622891,I just wasted an hour descending into a nostalgia hole trying to find sites I used to go on when I was younger. Most of them are gone :(,,status,,2016-07-24 15:32:04
833622823422420_978215572296477,It was called Ghost Motel actually and I remember this pixelly demon so well. Gave me the willies back then,Timeline Photos,photo,https://www.facebook.com/y666drasil/photos/a.836273496490686.1073741828.833622823422420/978215572296477/?type=3,2016-07-24 12:56:34
833622823422420_978214145629953,"Did anybody else play the (what I think was a flash) game where you play as a ghost with a hat and you become a demon hunter and it's called Ghost Hotel or something stupid like that. 

I spent most of my youth playing weurd games online....

Anyway I've just been thinking about this game and wondered if anybody played it.",,status,,2016-07-24 12:52:54
833622823422420_977898135661554,Almost,Timeline Photos,photo,https://www.facebook.com/y666drasil/photos/a.836273496490686.1073741828.833622823422420/977898135661554/?type=3,2016-07-24 02:21:16
833622823422420_977894595661908,Got drunk last night and watched Star Wars Rebels. It was sweet.,,status,,2016-07-24 02:04:52
833622823422420_977056332412401,Pretty girls should be banned from Pokemon Go. Handsome boys only please!,,status,,2016-07-22 16:47:03
833622823422420_976885509096150,Dru6s showed me a cool album the other day Western Teleport by Emperor X or something. Check it out if u like being cool like me,,status,,2016-07-22 10:11:24
833622823422420_976794992438535,"I saw an ad for a Pokemon Go dating services that said ""Find your Ash or Misty"" I'm just like heck that lemme at that Brock",,status,,2016-07-22 07:30:01
833622823422420_976758069108894,I was going to catch Pokemon Gos but the server was down so I shaved instead because somebody might want to assess my softness tonight idk peace,,status,,2016-07-22 05:49:32
833622823422420_975869312531103,Sup bitches theys a new king,66.media.tumblr.com,link,https://66.media.tumblr.com/f4d2b68909bc0827345903a133241ddd/tumblr_o7ctmbeVU51qbskzqo4_r1_540.gif,2016-07-20 21:04:09
833622823422420_975630382554996,"Sorry I haven't been posting much, I'm making a website, download Pokemon Go, and started a blind run of Dark Souls 2. I've been a busy baby but you guys deserve an update so I'll say I hev been having lots of cramps and my poops have been irregular. Any medical advice is appreciated. I will prolly be dead in a week

Yo bizzy baby Yggy",,status,,2016-07-20 13:43:49
833622823422420_975408469243854,Where he going?,media.giphy.com,link,https://media.giphy.com/media/l41YmLIulLiGT2FWM/giphy.gif,2016-07-20 06:32:16
833622823422420_975077022610332,Big ol Blasto,Timeline Photos,photo,https://www.facebook.com/y666drasil/photos/a.836273496490686.1073741828.833622823422420/975077022610332/?type=3,2016-07-19 17:21:14
833622823422420_974696342648400,Srry I swear so much guys. I'm just hecked in the brain y'kno,,status,,2016-07-19 06:20:20
833622823422420_974691665982201,There's a drowzee in my bedroom but he hiding,,status,,2016-07-19 06:03:54
833622823422420_974690452648989,Heck yes,Timeline Photos,photo,https://www.facebook.com/y666drasil/photos/a.836273496490686.1073741828.833622823422420/974690452648989/?type=3,2016-07-19 06:01:13
833622823422420_974658149318886,So my supervisor signed off on a promotion for me yesterday.... Just has to get approved by my manager 🤓,,status,,2016-07-19 05:11:07
833622823422420_974303419354359,I live in the one section of town that doesn't have a million poke stops wtf???,,status,,2016-07-18 16:03:44
833622823422420_974296692688365,Get hecked,Timeline Photos,photo,https://www.facebook.com/y666drasil/photos/a.836273496490686.1073741828.833622823422420/974296692688365/?type=3,2016-07-18 15:49:42
833622823422420_974046609380040,Head office just sent an e-mail to all employees asking if they've got any cool Pokemon. Wtf us happening have I been transported to an alternate universe???!!,,status,,2016-07-18 08:00:18
833622823422420_974042042713830,We had a pants audit at work today,,status,,2016-07-18 07:49:35
833622823422420_974027312715303,Get the heck outta here!,Heckin pictures of DANG Doggos,link,https://67.media.tumblr.com/8ad7d0d26386db043c89bdbfee456df5/tumblr_oa9r0wsUyS1uluepno1_400.gif,2016-07-18 07:27:23
833622823422420_973982792719755,"I honestly have no idea what to do when people talk to me about the weather.... Like, I don't go outside what do you want from me?",,status,,2016-07-18 05:30:59
833622823422420_973971082720926,"Literally just saw this headline 

""A shirtless Gronk was seen at a party last night""

Somebody please explain!",,status,,2016-07-18 04:57:51
833622823422420_973353442782690,Heck off u friggin pervs,Woof woof like this page lol,photo,https://www.facebook.com/1620354228232784/photos/a.1620354961566044.1073741827.1620354228232784/1768756706725868/?type=3,2016-07-17 07:31:11
833622823422420_973086819476019,Sorry but being pretty is totally better than being white... 😬 whoops,,status,,2016-07-16 23:35:36
833622823422420_972965042821530,Uh oh,Timeline Photos,photo,https://www.facebook.com/y666drasil/photos/a.836273496490686.1073741828.833622823422420/972965042821530/?type=3,2016-07-16 19:19:27
833622823422420_972245049560196,Should I get Monster Hunter Generations tomorrow? I've been so busy lately I'm worried I just wouldn't get to it.... But I really want it,,status,,2016-07-15 16:30:32
833622823422420_972080519576649,I need to get a pet I'm sick of having crushes. I just need something cute to love forever,,status,,2016-07-15 10:35:07
833622823422420_972080286243339,Good thing work has decided that I should suffer today so I'm distracted from my infinite sorrow that new girl doesn't love me,,status,,2016-07-15 10:34:44
833622823422420_972035589581142,"Bunny girl is gone today but new girl is wearing a dress that makes me hate myself.

Good day",,status,,2016-07-15 09:21:57
833622823422420_971941096257258,Gosh same,M4leficent,photo,https://www.facebook.com/M4l3ficent/photos/a.595591233858934.1073741827.595581670526557/1121624557922263/?type=3,2016-07-15 06:23:28
833622823422420_971927086258659,My dog is super old but I still love him and include him in shit. He's honestly better now than when he was a puppy,Land of Dogs,video,https://www.facebook.com/LANDofDOGS.net/videos/274888819539448/,2016-07-15 06:04:00
833622823422420_971922596259108,I want one of these lil friggers so bad,,status,,2016-07-15 05:50:32
833622823422420_971921939592507,I've seen this vid like 100 times this week n it good boy every time,Amazing Pictures And Animals,video,https://www.facebook.com/AmazingPicturesAndAnimals/videos/1140724202665678/,2016-07-15 05:48:35
